0,1,2,3,4,5,6
Bread,Juice,Eggs,Meat,Cheese,Pencil,Diaper
Bread,Cheese,Meat,Diaper,Juice,Milk,Pencil
Cheese,Meat,Eggs,Milk,Juice,,
Cheese,Meat,Eggs,Milk,Juice,,
Meat,Pencil,Juice,,,,
Eggs,Bread,Juice,Pencil,Milk,Diaper,Bagel
Juice,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Juice,Eggs,
Bagel,Juice,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Juice,,
Bagel,Eggs,Meat,Bread,Diaper,Juice,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Juice,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Juice,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Diaper,Meat,Bread,Pencil,Juice,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Juice,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Juice,Meat,Bagel,,
Bread,Cheese,Milk,Juice,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Juice,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Juice,Meat,,,,
Diaper,Bread,Bagel,Eggs,Juice,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Juice,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Milk,,,,,
Diaper,,,,,,
Juice,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Juice,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Juice,Bread,,
Juice,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Juice,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Juice,,
Juice,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Juice,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Juice,Diaper,
Pencil,Cheese,Diaper,Juice,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Juice,Eggs,Bagel,Cheese,Pencil,Diaper
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Milk,,,,,,
Bread,Pencil,,,,,
Juice,Milk,Cheese,,,,
Cheese,Bagel,,,,,
Pencil,Diaper,Juice,,,,
Eggs,Meat,Cheese,,,,
Meat,Bagel,Pencil,,,,
Meat,Eggs,Bagel,Cheese,Juice,,
Bread,Cheese,Juice,Bagel,Milk,Meat,
Meat,Cheese,Pencil,Juice,Bread,,
